project_id,project_name,slug,project_path,tier,resolved_status,target_journal,portfolio_priority,ops_readiness_score,citation_readiness_score,workflow_readiness_score,recommended_license,source_paper_signal,source_protocol_signal,existing_pages_url,deposit_state,rewrite_workbook_source,rewrite_present,rewrite_valid,rewrite_word_count,rewrite_sentence_count,rewrite_matches_current,rewrite_status,publish_now,e156_body_status,protocol_status,dashboard_status,code_release_status,mit_license_status,github_status,pages_status,pdf_status,synthesis_status,source_article_path,github_repo_url,github_pages_url,paper_pdf_path,synthesis_article_url,notes,last_updated
37b,501MLM_Submission,501mlm-submission-37b,C:\Projects\501MLM_Submission\,Tier 4,Submission ready,,high,82,95,90,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/501mlm-submission-37b.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,112,7,no,rewritten,yes,ready,draft,draft,ready,missing,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
6,AdaptSim,adaptsim-6,C:\AdaptSim\,Tier 1,Submission ready,Lancet Digital Health + F1000,high,92,100,100,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/adaptsim-6.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,135,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-advanced-nma-pooling,advanced-nma-pooling,models-advanced-nma-pooling,C:\Models\advanced-nma-pooling,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,141,7,no,rewritten,yes,ready,ready,ready,ready,ready,published,missing,pending,not-configured,C:\Models\advanced-nma-pooling\e156-submission\paper.json,advanced-nma-pooling,,,,Workbook-only project discovered from the C drive scan.,
ext-africarct,AfricaRCT,africarct,C:\AfricaRCT,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,146,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\AfricaRCT\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
4,Al-Mizan,al-mizan-4,C:\AlMizan\,Tier 1,Submission ready,BMJ Evidence-Based Medicine,high,92,100,100,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/al-mizan-4.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,155,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-assirat,AsSirat,models-assirat,C:\Models\AsSirat,Workbook-only,External E156 repo,E156,high,40,85,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,154,7,no,rewritten,yes,ready,missing,missing,ready,planned,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
ext-models-autograde,AutoGRADE,models-autograde,C:\Models\AutoGRADE,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,143,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\AutoGRADE\e156-submission\paper.json,autograde-tool,,,,Workbook-only project discovered from the C drive scan.,
1,CardioOracle,cardiooracle-1,C:\Models\CardioOracle\,Tier 1,Submission ready,Lancet Digital Health,high,79,100,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/cardiooracle-1.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,147,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-cardiotrialaudit,CardioTrialAudit,models-cardiotrialaudit,C:\Models\CardioTrialAudit,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,154,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\CardioTrialAudit\e156-submission\paper.json,cardio-trial-audit,,,,Workbook-only project discovered from the C drive scan.,
39,CausalSynth,causalsynth-39,C:\Models\CausalSynth\,Tier 5,Submission ready,,high,75,95,90,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/causalsynth-39.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,154,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
